source, target
"999395953026240512","854439931502047232"
"999395953026240512","848921878421000193"
"999395953026240512","846787135235657729"
"999395953026240512","842497726181003269"
"999395953026240512","837211584"
"999395953026240512","787264627382095872"
"999395953026240512","506493498"
"999395953026240512","3294113488"
"999395953026240512","307547481"
"999395953026240512","121038705"
"999395953026240512","1065396180509736960"
"999395953026240512","1014933668450750464"
"999395953026240512","1013253539169173504"
"998352891827060736","846280125285089280"
"998352891827060736","841248092636737536"
"998352891827060736","821016379314814976"
"998352891827060736","792982914422149120"
"998352891827060736","791729760313434114"
"998352891827060736","6565752"
"998352891827060736","441506875"
"998352891827060736","414024815"
"998352891827060736","412290375"
"998352891827060736","30202175"
"998352891827060736","2815916728"
"998352891827060736","242492168"
"998352891827060736","238319331"
"998352891827060736","2361250834"
"998352891827060736","2169682599"
"998352891827060736","127659284"
"998352891827060736","108434962"
"990375282673684481","994934816352231425"
"990375282673684481","978332138029355008"
"990375282673684481","929660290047897601"
"990375282673684481","915574416301576192"
"990375282673684481","855755029650829312"
"990375282673684481","851781778553614342"
"990375282673684481","851153695806980097"
"990375282673684481","848921878421000193"
"990375282673684481","846787135235657729"
"990375282673684481","846479916505944065"
"990375282673684481","841248092636737536"
"990375282673684481","840202225515393024"
"990375282673684481","838210212473470976"
"990375282673684481","834800247503196160"
"990375282673684481","834038299723431936"
"990375282673684481","821016379314814976"
"990375282673684481","797524031138361344"
"990375282673684481","792982914422149120"
"990375282673684481","791729760313434114"
"990375282673684481","787264627382095872"
"990375282673684481","77718403"
"990375282673684481","757514581044498432"
"990375282673684481","756067127900114944"
"990375282673684481","728550921995751424"
"990375282673684481","727689375300096000"
"990375282673684481","713629382712160256"
"990375282673684481","613519689"
"990375282673684481","585736569"
"990375282673684481","580822040"
"990375282673684481","506493498"
"990375282673684481","493110289"
"990375282673684481","4928020474"
"990375282673684481","4896867574"
"990375282673684481","47437779"
"990375282673684481","467745761"
"990375282673684481","467318410"
"990375282673684481","4447769499"
"990375282673684481","435224364"
"990375282673684481","410735213"
"990375282673684481","383113719"
"990375282673684481","3435294983"
"990375282673684481","3367250507"
"990375282673684481","3364545226"
"990375282673684481","3310407735"
"990375282673684481","3304537259"
"990375282673684481","3294113488"
"990375282673684481","3254253723"
"990375282673684481","325043073"
"990375282673684481","3197707275"
"990375282673684481","3003651046"
"990375282673684481","299224851"
"990375282673684481","2975315864"
"990375282673684481","291633231"
"990375282673684481","290509123"
"990375282673684481","2850467439"
"990375282673684481","2834846529"
"990375282673684481","28328101"
"990375282673684481","2815916728"
"990375282673684481","2815008193"
"990375282673684481","2773071372"
"990375282673684481","2577424166"
"990375282673684481","2464135300"
"990375282673684481","238319331"
"990375282673684481","235910137"
"990375282673684481","2313705762"
"990375282673684481","2275106482"
"990375282673684481","2225239256"
"990375282673684481","2179234498"
"990375282673684481","1707319650"
"990375282673684481","156593609"
"990375282673684481","14797919"
"990375282673684481","1236464522"
"990375282673684481","119893910"
"990375282673684481","116135875"
"990375282673684481","112542685"
"990375282673684481","1091873074784464896"
"990375282673684481","1084193960"
"990375282673684481","1065396180509736960"
"990375282673684481","1049050627022749696"
"990375282673684481","1030090065249222661"
"990375282673684481","1014933668450750464"
"990375282673684481","1007642985553686529"
"986279990969978880","910127605277495297"
"986279990969978880","68940196"
"986279990969978880","506493498"
"986279990969978880","499699049"
"986279990969978880","455990159"
"986279990969978880","329686497"
"986279990969978880","20844907"
"986279990969978880","19822406"
"986279990969978880","1243147873"
"986279990969978880","10330232"
"983040318856720384","797887750871666689"
"983040318856720384","4928020474"
"983040318856720384","2815916728"
"983040318856720384","108434962"
"981580611675664390","92945903"
"981580611675664390","747356061984821248"
"981580611675664390","414024815"
"981580611675664390","1323124038"
"980333313058656256","978332138029355008"
"980333313058656256","808440877865717766"
"980333313058656256","325043073"
"980333313058656256","156593609"
"978332138029355008","990375282673684481"
"978332138029355008","988156684903346177"
"978332138029355008","980333313058656256"
"978332138029355008","970393568971034624"
"978332138029355008","945878124"
"978332138029355008","936636073920421888"
"978332138029355008","92945903"
"978332138029355008","915574416301576192"
"978332138029355008","881465538853179392"
"978332138029355008","870257757055799298"
"978332138029355008","867811386"
"978332138029355008","859407061230252032"
"978332138029355008","855755029650829312"
"978332138029355008","851781778553614342"
"978332138029355008","849108793006972928"
"978332138029355008","848921878421000193"
"978332138029355008","846787135235657729"
"978332138029355008","846280125285089280"
"978332138029355008","841248092636737536"
"978332138029355008","840202225515393024"
"978332138029355008","836911068203134977"
"978332138029355008","835969941744541700"
"978332138029355008","834038299723431936"
"978332138029355008","808440877865717766"
"978332138029355008","80763859"
"978332138029355008","805084332"
"978332138029355008","803196071556108288"
"978332138029355008","797887750871666689"
"978332138029355008","792982914422149120"
"978332138029355008","791729760313434114"
"978332138029355008","787264627382095872"
"978332138029355008","77718403"
"978332138029355008","757514581044498432"
"978332138029355008","756067127900114944"
"978332138029355008","747356061984821248"
"978332138029355008","728550921995751424"
"978332138029355008","727489636273131520"
"978332138029355008","68623706"
"978332138029355008","6565752"
"978332138029355008","613293979"
"978332138029355008","580822040"
"978332138029355008","506493498"
"978332138029355008","496193039"
"978332138029355008","47953715"
"978332138029355008","475693475"
"978332138029355008","472977507"
"978332138029355008","471031900"
"978332138029355008","467745761"
"978332138029355008","467318410"
"978332138029355008","455990159"
"978332138029355008","441506875"
"978332138029355008","435224364"
"978332138029355008","4192454145"
"978332138029355008","419163262"
"978332138029355008","413186062"
"978332138029355008","402589880"
"978332138029355008","394652292"
"978332138029355008","3790014981"
"978332138029355008","367864384"
"978332138029355008","3367250507"
"978332138029355008","3310407735"
"978332138029355008","330508194"
"978332138029355008","325043073"
"978332138029355008","3197707275"
"978332138029355008","3141539643"
"978332138029355008","307547481"
"978332138029355008","304931146"
"978332138029355008","30202175"
"978332138029355008","3003651046"
"978332138029355008","2978598125"
"978332138029355008","2975315864"
"978332138029355008","290509123"
"978332138029355008","2864538430"
"978332138029355008","2859134404"
"978332138029355008","284167741"
"978332138029355008","2835510834"
"978332138029355008","2815916728"
"978332138029355008","2731574915"
"978332138029355008","259528569"
"978332138029355008","2507202962"
"978332138029355008","248674718"
"978332138029355008","2481916265"
"978332138029355008","2430630890"
"978332138029355008","2268708474"
"978332138029355008","2236085510"
"978332138029355008","2226968456"
"978332138029355008","2225239256"
"978332138029355008","2192647094"
"978332138029355008","2169682599"
"978332138029355008","1954572524"
"978332138029355008","17588280"
"978332138029355008","156593609"
"978332138029355008","1546814226"
"978332138029355008","1543813320"
