"Source","Target"
"53798973","996166202"
"53798973","983665906982293506"
"53798973","968200074424700929"
"53798973","955726205029937157"
"53798973","954313830"
"53798973","950336480848867328"
"53798973","946833383321145344"
"53798973","94594788"
"53798973","94549979"
"53798973","938977964"
"53798973","936348468"
"53798973","9307742"
"53798973","911639136553115648"
"53798973","904000831376248835"
"53798973","903649996884635652"
"53798973","89431845"
"53798973","893758854294589440"
"53798973","892945188"
"53798973","889670700"
"53798973","882518582944509953"
"53798973","871896542"
"53798973","871164209140080640"
"53798973","868305474"
"53798973","8624082"
"53798973","844692477244248064"
"53798973","843269983"
"53798973","839919329743351809"
"53798973","838021324190666753"
"53798973","822063731244929024"
"53798973","821661529623986176"
"53798973","819274390743502859"
"53798973","816283017815715840"
"53798973","814509201707896832"
"53798973","81151812"
"53798973","810446802"
"53798973","804553360997285888"
"53798973","804194142393802752"
"53798973","801822323825410049"
"53798973","783710695716159489"
"53798973","757514581044498432"
"53798973","750981583805485057"
"53798973","741239443"
"53798973","731845487201013760"
"53798973","727921220285403136"
"53798973","726365373965152257"
"53798973","724659225390137345"
"53798973","723082274808291329"
"53798973","721259634"
"53798973","720548239"
"53798973","717014607215398912"
"53798973","716644897"
"53798973","716284252665552897"
"53798973","711641379605254144"
"53798973","70683528"
"53798973","705493429837545474"
"53798973","704607010055032832"
"53798973","703838486957158400"
"53798973","702932078162264065"
"53798973","700800823"
"53798973","6898372"
"53798973","68940196"
"53798973","66842140"
"53798973","66587982"
"53798973","620098491"
"53798973","615520420"
"53798973","613718578"
"53798973","57676997"
"53798973","574715548"
"53798973","573592649"
"53798973","562328676"
"53798973","554531942"
"53798973","552753487"
"53798973","547532713"
"53798973","546720037"
"53798973","543846678"
"53798973","539297517"
"53798973","53890890"
"53798973","535562933"
"53798973","531518649"
"53798973","523234632"
"53798973","520440833"
"53798973","509981951"
"53798973","50712180"
"53798973","506218616"
"53798973","500852968"
"53798973","49629954"
"53798973","493867837"
"53798973","493435177"
"53798973","4926862581"
"53798973","488591996"
"53798973","48689381"
"53798973","48319720"
"53798973","481458592"
"53798973","480752391"
"53798973","480512865"
"53798973","475741929"
"53798973","475651407"
"53798973","475040327"
"53798973","474725821"
"53798973","474706904"
"53798973","474073938"
"53798973","47261651"
"53798973","467745761"
"53798973","46774284"
"53798973","46703679"
"53798973","462990477"
"53798973","4612412056"
"53798973","461022437"
"53798973","458368775"
"53798973","455099921"
"53798973","453288234"
"53798973","45218401"
"53798973","45139249"
"53798973","447832402"
"53798973","4420495457"
"53798973","441808692"
"53798973","4373116635"
"53798973","436595876"
"53798973","433699067"
"53798973","433577806"
"53798973","430937261"
"53798973","42497567"
"53798973","422943871"
