 ,Unit,Question,Students,Mark
0,500788,1,15,20.666666666666668
1,500788,2,15,16.666666666666668
2,500788,3,15,23.333333333333332
3,500788,4,15,23.333333333333332
4,500788,5,15,27.333333333333332
5,500788,6,15,17.333333333333332
6,500788,7,15,18.0
7,500788,8,14,22.857142857142858
8,500788,9,15,22.666666666666668
9,500788,10,15,22.666666666666668
10,500788,11,15,17.333333333333332
11,924209,1,66,15.606060606060606
12,924209,2,66,20.0
13,924209,3,66,17.727272727272727
14,924209,4,66,23.181818181818183
15,924209,5,66,24.393939393939394
16,924209,6,66,14.696969696969697
17,924209,7,66,13.484848484848484
18,924209,8,66,23.03030303030303
19,924209,9,66,23.333333333333332
20,924209,10,66,21.515151515151516
21,924209,11,66,22.727272727272727
22,537745,1,74,18.243243243243242
23,537745,2,74,18.10810810810811
24,537745,3,74,23.513513513513512
25,537745,4,74,25.81081081081081
26,537745,5,74,25.54054054054054
27,537745,6,74,19.864864864864863
28,537745,7,74,20.0
29,537745,8,74,26.35135135135135
30,537745,9,74,24.72972972972973
31,537745,10,74,25.135135135135137
32,537745,11,74,21.486486486486488
33,833528,1,96,22.916666666666668
34,833528,2,96,24.479166666666668
35,833528,3,96,22.291666666666668
36,833528,4,96,26.25
37,833528,5,96,27.291666666666668
38,833528,6,96,24.6875
39,833528,7,96,25.104166666666668
40,833528,8,84,22.023809523809526
41,833528,9,96,24.6875
42,833528,10,96,24.166666666666668
43,833528,11,96,24.166666666666668
44,997495,1,32,16.875
45,997495,2,32,18.4375
46,997495,3,32,16.875
47,997495,4,32,20.625
48,997495,5,32,25.0
49,997495,6,32,13.4375
50,997495,7,32,13.4375
51,997495,8,32,18.75
52,997495,9,32,21.875
53,997495,10,32,24.6875
54,997495,11,32,17.5
55,139994,1,118,18.050847457627118
56,139994,2,118,24.06779661016949
57,139994,3,118,23.305084745762713
58,139994,4,118,25.16949152542373
59,139994,5,118,26.694915254237287
60,139994,6,118,23.220338983050848
61,139994,7,118,21.610169491525422
62,139994,8,116,23.103448275862068
63,139994,9,118,25.76271186440678
64,139994,10,118,26.864406779661017
65,139994,11,118,23.135593220338983
66,488934,1,47,21.914893617021278
67,488934,2,47,15.53191489361702
68,488934,3,47,17.4468085106383
69,488934,4,47,21.70212765957447
70,488934,5,47,22.127659574468087
71,488934,6,47,15.319148936170214
72,488934,7,47,15.53191489361702
73,488934,8,46,17.608695652173914
74,488934,9,47,21.914893617021278
75,488934,10,47,23.617021276595743
76,488934,11,47,20.851063829787233
77,378584,1,77,21.948051948051948
78,378584,2,77,21.038961038961038
79,378584,3,77,24.025974025974026
80,378584,4,77,25.844155844155843
81,378584,5,77,26.103896103896105
82,378584,6,77,22.727272727272727
83,378584,7,77,24.285714285714285
84,378584,8,75,25.733333333333334
85,378584,9,77,25.194805194805195
86,378584,10,77,26.233766233766232
87,378584,11,77,22.337662337662337
88,336207,1,83,14.337349397590362
89,336207,2,83,20.602409638554217
90,336207,3,83,16.14457831325301
91,336207,4,83,22.16867469879518
92,336207,5,83,24.57831325301205
93,336207,6,83,14.457831325301205
94,336207,7,83,11.08433734939759
95,336207,8,83,22.89156626506024
96,336207,9,83,22.048192771084338
97,336207,10,83,20.602409638554217
98,336207,11,83,22.289156626506024
99,191295,1,110,17.0
100,191295,2,110,22.636363636363637
101,191295,3,110,19.727272727272727
102,191295,4,110,24.272727272727273
103,191295,5,110,27.545454545454547
104,191295,6,110,22.09090909090909
105,191295,7,110,18.636363636363637
106,191295,8,108,23.14814814814815
107,191295,9,110,24.818181818181817
108,191295,10,110,28.09090909090909
109,191295,11,110,24.727272727272727
110,692863,1,110,17.09090909090909
111,692863,2,110,22.454545454545453
112,692863,3,110,20.363636363636363
113,692863,4,110,23.818181818181817
114,692863,5,110,27.272727272727273
115,692863,6,110,22.09090909090909
116,692863,7,110,18.454545454545453
117,692863,8,107,23.83177570093458
118,692863,9,110,24.636363636363637
119,692863,10,110,27.818181818181817
120,692863,11,110,24.454545454545453
121,315071,1,12,25.833333333333332
122,315071,2,12,26.666666666666668
123,315071,3,12,25.833333333333332
124,315071,4,12,24.166666666666668
125,315071,5,12,28.333333333333332
126,315071,6,12,23.333333333333332
127,315071,7,12,22.5
128,315071,8,12,25.0
129,315071,9,12,28.333333333333332
130,315071,10,12,28.333333333333332
131,315071,11,12,25.833333333333332
132,489377,1,75,18.666666666666668
133,489377,2,75,20.533333333333335
134,489377,3,75,20.666666666666668
135,489377,4,75,26.266666666666666
136,489377,5,75,24.533333333333335
137,489377,6,75,17.866666666666667
138,489377,7,75,18.8
139,489377,8,75,24.0
140,489377,9,75,24.8
141,489377,10,75,24.266666666666666
142,489377,11,75,19.2
143,300500,1,62,21.129032258064516
144,300500,2,62,19.032258064516128
145,300500,3,62,20.967741935483872
146,300500,4,62,26.451612903225808
147,300500,5,62,24.516129032258064
148,300500,6,62,25.322580645161292
149,300500,7,62,26.93548387096774
150,300500,8,61,23.60655737704918
151,300500,9,62,26.129032258064516
152,300500,10,62,26.774193548387096
